"","sid","block_n","snb","bid","b2_bid","s1_rp","s2_rp","outcome","rt","profit","country","out_bool","out_prev","out_aprev","bid_prev","bid_aprev","bid_next","bid_anext","dl"
"61","molenin",1,"NC",4.5,NA,5,NA,"reject",NA,0,"RU",FALSE,NA,NA,NA,0,5.5,5.5,NA
"62","molenin",1,"SC",5.5,NA,4.5,4,"accept",NA,4.5,"RU",TRUE,NA,0,NA,0,5,7.2,NA
"63","molenin",1,"BC",7.2,6.9,3.8,NA,"accept",NA,2.8,"RU",TRUE,NA,1,NA,0,NA,5.5,NA
"64","molenin",2,"NC",5.5,NA,4.8,NA,"accept",NA,4.5,"RU",TRUE,0,1,4.5,0,5.2,5,1
"65","molenin",2,"SC",5,NA,2,5.6,"accept",NA,5,"RU",TRUE,1,1,5.5,0,4.6,5.2,1
"66","molenin",3,"NC",5.2,NA,4,NA,"accept",NA,4.8,"RU",TRUE,1,1,5.5,0,4,4.6,1
"67","molenin",3,"SC",4.6,NA,1,4,"accept",NA,5.4,"RU",TRUE,1,1,5,0,3.8,6,1
"68","molenin",3,"BC",6,8,5.2,NA,"reject",NA,0,"RU",FALSE,NA,1,NA,0,6.5,4,NA
"69","molenin",4,"NC",4,NA,0.1,NA,"accept",NA,6,"RU",TRUE,1,0,5.2,0,4.6,3.8,1
"70","molenin",4,"SC",3.8,NA,3,4.6,"accept",NA,6.2,"RU",TRUE,1,1,4.6,0,3.9,6.5,1
"71","molenin",4,"BC",6.5,6.5,4.5,NA,"accept",NA,3.5,"RU",TRUE,0,1,6,0,NA,4.6,1
"72","molenin",5,"NC",4.6,NA,0.1,NA,"accept",NA,5.4,"RU",TRUE,1,1,4,0,NA,3.9,0
"73","molenin",5,"SC",3.9,NA,5.3,0.1,"accept",NA,6.1,"RU",TRUE,1,1,3.8,0,3.9,3.9,0
"74","molenin",6,"SC",3.9,NA,0.1,0.1,"accept",NA,6.1,"RU",TRUE,1,1,3.9,0,4,6.1,1
"75","molenin",6,"BC",6.1,8,4.5,NA,"reject",NA,0,"RU",FALSE,NA,1,NA,0,6.5,5,NA
"76","molenin",7,"NC",5,NA,4,NA,"accept",NA,5,"RU",TRUE,NA,0,NA,0,3.1,4,NA
"77","molenin",7,"SC",4,NA,0.5,4,"accept",NA,6,"RU",TRUE,1,1,3.9,0,NA,6.5,0
"78","molenin",7,"BC",6.5,7.1,6.8,NA,"reject",NA,0,"RU",FALSE,0,1,6.1,0,7.1,3.1,1
"79","molenin",8,"NC",3.1,NA,3.5,NA,"reject",NA,0,"RU",FALSE,1,0,5,0,NA,7.1,1
