opb,clh,rpe,cob,coe,cmr,sve
4.9,-4.00316462464,-2.3,4.8,1.3,97.4,"[ 3.1 -1.   0.1  3.1 -1.   0.1  3.1 -1.   0.1  3.1 -1.   0.1  3.1 -1.   0.1
  3.1 -1.   0.1  3.1 -1.   0.1  3.1 -1.   0.1  3.1 -1.   0.1  3.1 -1.   0.1
  3.1 -1.   0.1  3.1 -1.   0.1  3.1 -1.   0.1  3.1 -1. ]"
7.9,-3.97252622714,-5.1,9.3,0.7,97.4,"[-1.4 -5.5 -4.4 -1.4 -5.5 -4.4 -1.4 -5.5 -4.4 -1.4 -5.5 -4.4 -1.4 -5.5 -4.4
 -1.4 -5.5 -4.4 -1.4 -5.5 -4.4 -1.4 -5.5 -4.4 -1.4 -5.5 -4.4 -1.4 -5.5 -4.4
 -1.4 -5.5 -4.4 -1.4 -5.5 -4.4 -1.4 -5.5 -4.4 -1.4 -5.5 -4.4]"
3.8,-3.77545669767,3.1,2.0,2.8,102.6,"[ 5.9  1.8  2.9  5.9  1.8  2.9  5.9  1.8  2.9  5.9  1.8  2.9  5.9  1.8  2.9
  5.9  1.8  2.9  5.9  1.8  2.9  5.9  1.8  2.9  5.9  1.8  2.9  5.9  1.8  2.9
  5.9  1.8  2.9  5.9  1.8  2.9  5.9  1.8  2.9  5.9  1.8  2.9  5.9]"
4.9,-3.72567164768,-1.1,4.0,0.9,107.7,"[ 3.9 -0.2  0.9  3.9 -0.2  0.9  3.9 -0.2  0.9  3.9 -0.2  0.9  3.9 -0.2  0.9
  3.9 -0.2  0.9  3.9 -0.2  0.9  3.9 -0.2  0.9  3.9 -0.2  0.9  3.9 -0.2  0.9
  3.9 -0.2  0.9  3.9 -0.2  0.9  3.9 -0.2  0.9  3.9 -0.2  0.9  3.9 -0.2]"
7.9,-4.42351560168,-4.3,8.1,1.1,108.5,"[-0.2 -4.3 -3.2 -0.2 -4.3 -3.2 -0.2 -4.3 -3.2 -0.2 -4.3 -3.2 -0.2 -4.3 -3.2
 -0.2 -4.3 -3.2 -0.2 -4.3 -3.2 -0.2 -4.3 -3.2 -0.2 -4.3 -3.2 -0.2 -4.3 -3.2
 -0.2 -4.3 -3.2 -0.2 -4.3 -3.2 -0.2 -4.3 -3.2 -0.2 -4.3 -3.2 -0.2 -4.3 -3.2]"
3.8,-3.51490857977,3.8,0.0,4.1,114.4,"[ 7.9  3.8  4.9  7.9  3.8  4.9  7.9  3.8  4.9  7.9  3.8  4.9  7.9  3.8  4.9
  7.9  3.8  4.9  7.9  3.8  4.9  7.9  3.8  4.9  7.9  3.8  4.9  7.9  3.8  4.9
  7.9  3.8  4.9  7.9  3.8  4.9  7.9  3.8  4.9  7.9  3.8  4.9  7.9  3.8  4.9
  7.9]"
4.9,-3.72684865033,-1.2,0.1,4.9,119.4,"[ 7.8  3.7  4.8  7.8  3.7  4.8  7.8  3.7  4.8  7.8  3.7  4.8  7.8  3.7  4.8
  7.8  3.7  4.8  7.8  3.7  4.8  7.8  3.7  4.8  7.8  3.7  4.8  7.8  3.7  4.8
  7.8  3.7  4.8  7.8  3.7  4.8  7.8  3.7  4.8  7.8  3.7  4.8  7.8  3.7  4.8
  7.8  3.7]"
7.9,-4.49376655918,-5.1,6.8,3.2,119.4,"[ 1.1 -3.  -1.9  1.1 -3.  -1.9  1.1 -3.  -1.9  1.1 -3.  -1.9  1.1 -3.  -1.9
  1.1 -3.  -1.9  1.1 -3.  -1.9  1.1 -3.  -1.9  1.1 -3.  -1.9  1.1 -3.  -1.9
  1.1 -3.  -1.9  1.1 -3.  -1.9  1.1 -3.  -1.9  1.1 -3.  -1.9  1.1 -3.  -1.9
  1.1 -3.  -1.9]"
3.8,-3.73659215868,4.9,0.0,3.0,126.4,"[ 7.9  3.8  4.9  7.9  3.8  4.9  7.9  3.8  4.9  7.9  3.8  4.9  7.9  3.8  4.9
  7.9  3.8  4.9  7.9  3.8  4.9  7.9  3.8  4.9  7.9  3.8  4.9  7.9  3.8  4.9
  7.9  3.8  4.9  7.9  3.8  4.9  7.9  3.8  4.9  7.9  3.8  4.9  7.9  3.8  4.9
  7.9  3.8  4.9  7.9]"
4.9,-4.46467591863,0.8,1.0,2.0,133.4,"[ 6.9  2.8  3.9  6.9  2.8  3.9  6.9  2.8  3.9  6.9  2.8  3.9  6.9  2.8  3.9
  6.9  2.8  3.9  6.9  2.8  3.9  6.9  2.8  3.9  6.9  2.8  3.9  6.9  2.8  3.9
  6.9  2.8  3.9  6.9  2.8  3.9  6.9  2.8  3.9  6.9  2.8  3.9  6.9  2.8  3.9
  6.9  2.8  3.9  6.9  2.8]"
