opb,clh,rpe,cob,coe,cmr,sve
5.7,-3.71312267974,-1.3,6.0,0.0,92.8,"[ 2.2 -0.1  1.1  2.2 -0.1 -0.6  1.9 -1.4 -0.4  1.8 -1.1 -0.1  1.2 -0.7  0.1
  0.9 -1.1  0.3  0.7 -1.3 -0.1  0.6 -1.5 -0.3  0.6 -1.6 -0.5  0.6 -1.5 -0.4
  0.5 -1.4 -0.3  0.5 -1.3 -0.1  0.4 -1.3]"
6.4,-4.05086664619,-1.9,8.3,-0.7,95.2,"[-0.1 -2.4 -1.2 -0.1 -2.4 -2.9 -0.4 -3.7 -2.7 -0.5 -3.4 -2.4 -1.1 -3.  -2.2
 -1.4 -3.4 -2.  -1.6 -3.6 -2.4 -1.7 -3.8 -2.6 -1.7 -3.9 -2.8 -1.7 -3.8 -2.7
 -1.8 -3.7 -2.6 -1.8 -3.6 -2.4 -1.9 -3.6 -2.6]"
4.7,-3.62477540184,0.8,5.6,0.0,99.6,"[  2.60000000e+00   3.00000000e-01   1.50000000e+00   2.60000000e+00
   3.00000000e-01  -2.00000000e-01   2.30000000e+00  -1.00000000e+00
   8.88178420e-16   2.20000000e+00  -7.00000000e-01   3.00000000e-01
   1.60000000e+00  -3.00000000e-01   5.00000000e-01   1.30000000e+00
  -7.00000000e-01   7.00000000e-01   1.10000000e+00  -9.00000000e-01
   3.00000000e-01   1.00000000e+00  -1.10000000e+00   1.00000000e-01
   1.00000000e+00  -1.20000000e+00  -1.00000000e-01   1.00000000e+00
  -1.10000000e+00   8.88178420e-16   9.00000000e-01  -1.00000000e+00
   1.00000000e-01   9.00000000e-01  -9.00000000e-01   3.00000000e-01
   8.00000000e-01  -9.00000000e-01   1.00000000e-01   8.00000000e-01]"
5.7,-3.83820008629,-1.8,6.5,0.0,103.1,"[ 1.7 -0.6  0.6  1.7 -0.6 -1.1  1.4 -1.9 -0.9  1.3 -1.6 -0.6  0.7 -1.2 -0.4
  0.4 -1.6 -0.2  0.2 -1.8 -0.6  0.1 -2.  -0.8  0.1 -2.1 -1.   0.1 -2.  -0.9
  0.  -1.9 -0.8  0.  -1.8 -0.6 -0.1 -1.8 -0.8 -0.1 -1.8]"
6.3,-3.83535118432,-4.3,7.7,2.3,103.1,"[ 0.5 -1.8 -0.6  0.5 -1.8 -2.3  0.2 -3.1 -2.1  0.1 -2.8 -1.8 -0.5 -2.4 -1.6
 -0.8 -2.8 -1.4 -1.  -3.  -1.8 -1.1 -3.2 -2.  -1.1 -3.3 -2.2 -1.1 -3.2 -2.1
 -1.2 -3.1 -2.  -1.2 -3.  -1.8 -1.3 -3.  -2.  -1.3 -3.  -2. ]"
4.7,-4.02452523062,-3.7,6.0,4.0,103.1,"[ 2.2 -0.1  1.1  2.2 -0.1 -0.6  1.9 -1.4 -0.4  1.8 -1.1 -0.1  1.2 -0.7  0.1
  0.9 -1.1  0.3  0.7 -1.3 -0.1  0.6 -1.5 -0.3  0.6 -1.6 -0.5  0.6 -1.5 -0.4
  0.5 -1.4 -0.3  0.5 -1.3 -0.1  0.4 -1.3 -0.3  0.4 -1.3 -0.3  0.3]"
5.6,-4.10254904232,-2.3,8.0,-1.0,106.1,"[ 0.2 -2.1 -0.9  0.2 -2.1 -2.6 -0.1 -3.4 -2.4 -0.2 -3.1 -2.1 -0.8 -2.7 -1.9
 -1.1 -3.1 -1.7 -1.3 -3.3 -2.1 -1.4 -3.5 -2.3 -1.4 -3.6 -2.5 -1.4 -3.5 -2.4
 -1.5 -3.4 -2.3 -1.5 -3.3 -2.1 -1.6 -3.3 -2.3 -1.6 -3.3 -2.3 -1.7 -3.3]"
6.3,-4.37761061223,-2.4,8.7,-0.7,108.1,"[-0.5 -2.8 -1.6 -0.5 -2.8 -3.3 -0.8 -4.1 -3.1 -0.9 -3.8 -2.8 -1.5 -3.4 -2.6
 -1.8 -3.8 -2.4 -2.  -4.  -2.8 -2.1 -4.2 -3.  -2.1 -4.3 -3.2 -2.1 -4.2 -3.1
 -2.2 -4.1 -3.  -2.2 -4.  -2.8 -2.3 -4.  -3.  -2.3 -4.  -3.  -2.4 -4.  -3.1]"
4.8,-4.5781893025,-0.2,6.5,0.0,111.6,"[ 1.7 -0.6  0.6  1.7 -0.6 -1.1  1.4 -1.9 -0.9  1.3 -1.6 -0.6  0.7 -1.2 -0.4
  0.4 -1.6 -0.2  0.2 -1.8 -0.6  0.1 -2.  -0.8  0.1 -2.1 -1.   0.1 -2.  -0.9
  0.  -1.9 -0.8  0.  -1.8 -0.6 -0.1 -1.8 -0.8 -0.1 -1.8 -0.8 -0.2 -1.8 -0.9
 -0.2]"
5.6,-3.68591394129,-1.2,6.0,0.0,115.6,"[ 2.2 -0.1  1.1  2.2 -0.1 -0.6  1.9 -1.4 -0.4  1.8 -1.1 -0.1  1.2 -0.7  0.1
  0.9 -1.1  0.3  0.7 -1.3 -0.1  0.6 -1.5 -0.3  0.6 -1.6 -0.5  0.6 -1.5 -0.4
  0.5 -1.4 -0.3  0.5 -1.3 -0.1  0.4 -1.3 -0.3  0.4 -1.3 -0.3  0.3 -1.3 -0.4
  0.3 -1.2]"
6.3,-3.84676651701,-1.6,8.9,-1.7,118.4,"[-0.7 -3.  -1.8 -0.7 -3.  -3.5 -1.  -4.3 -3.3 -1.1 -4.  -3.  -1.7 -3.6 -2.8
 -2.  -4.  -2.6 -2.2 -4.2 -3.  -2.3 -4.4 -3.2 -2.3 -4.5 -3.4 -2.3 -4.4 -3.3
 -2.4 -4.3 -3.2 -2.4 -4.2 -3.  -2.5 -4.2 -3.2 -2.5 -4.2 -3.2 -2.6 -4.2 -3.3
 -2.6 -4.1 -3.3]"
4.8,-3.19222499814,-3.7,5.0,5.0,118.4,"[ 3.2  0.9  2.1  3.2  0.9  0.4  2.9 -0.4  0.6  2.8 -0.1  0.9  2.2  0.3  1.1
  1.9 -0.1  1.3  1.7 -0.3  0.9  1.6 -0.5  0.7  1.6 -0.6  0.5  1.6 -0.5  0.6
  1.5 -0.4  0.7  1.5 -0.3  0.9  1.4 -0.3  0.7  1.4 -0.3  0.7  1.3 -0.3  0.6
  1.3 -0.2  0.6  1.3]"
5.5,-3.62998029087,-0.8,5.6,0.0,122.8,"[  2.60000000e+00   3.00000000e-01   1.50000000e+00   2.60000000e+00
   3.00000000e-01  -2.00000000e-01   2.30000000e+00  -1.00000000e+00
   8.88178420e-16   2.20000000e+00  -7.00000000e-01   3.00000000e-01
   1.60000000e+00  -3.00000000e-01   5.00000000e-01   1.30000000e+00
  -7.00000000e-01   7.00000000e-01   1.10000000e+00  -9.00000000e-01
   3.00000000e-01   1.00000000e+00  -1.10000000e+00   1.00000000e-01
   1.00000000e+00  -1.20000000e+00  -1.00000000e-01   1.00000000e+00
  -1.10000000e+00   8.88178420e-16   9.00000000e-01  -1.00000000e+00
   1.00000000e-01   9.00000000e-01  -9.00000000e-01   3.00000000e-01
   8.00000000e-01  -9.00000000e-01   1.00000000e-01   8.00000000e-01
  -9.00000000e-01   1.00000000e-01   7.00000000e-01  -9.00000000e-01
   8.88178420e-16   7.00000000e-01  -8.00000000e-01   8.88178420e-16
   7.00000000e-01  -8.00000000e-01]"
6.3,-3.60808006941,-4.5,8.0,2.0,122.8,"[ 0.2 -2.1 -0.9  0.2 -2.1 -2.6 -0.1 -3.4 -2.4 -0.2 -3.1 -2.1 -0.8 -2.7 -1.9
 -1.1 -3.1 -1.7 -1.3 -3.3 -2.1 -1.4 -3.5 -2.3 -1.4 -3.6 -2.5 -1.4 -3.5 -2.4
 -1.5 -3.4 -2.3 -1.5 -3.3 -2.1 -1.6 -3.3 -2.3 -1.6 -3.3 -2.3 -1.7 -3.3 -2.4
 -1.7 -3.2 -2.4 -1.7 -3.2 -2.5]"
