drndg_beh,drndg_opb,drndg_clh,drndg_rpe,drndg_cob,drndg_coe,drndg_cmr,drndg_otb,drndg_sib
6.5,7.407397951418469,-1.1154961955336129,0.6170221046906423,6.790375846727827,0.0,96.72572984731902,1,6.790375846727827
4.0,5.5271271642951865,-0.92954484261636761,-0.03658315808000445,5.563710322375191,0.0,101.16201952494383,1,5.563710322375191
8.5,6.577113243235173,-0.9993077760378225,-3.422886756764827,8.9,1.0999999999999996,101.16201952494383,0,6.198076748657726
6.5,7.131589070621752,-2.2202216459070194,-1.6231380537491855,8.754727124370937,0.0,102.40729240057289,1,8.754727124370937
4.0,5.543479835956949,-1.3209239710501486,0.8943321671983551,4.6491476687585935,0.0,107.7581447318143,1,4.6491476687585935
6.5,7.857131780647638,-1.5536771047623028,1.1290230151264602,6.728108765521178,0.0,111.03003596629313,1,6.728108765521178
8.5,6.577113243235173,-1.0679840771153517,-3.422886756764827,8.1,1.9000000000000004,111.03003596629313,0,7.109825223276859
4.0,5.1437133572192835,-1.0028023082212285,0.38832745046177664,4.755385906757507,0.0,116.27465005953562,1,4.755385906757507
8.5,6.577113243235173,-0.93764000719349827,-3.422886756764827,8.4,1.5999999999999996,116.27465005953562,0,6.710732411865159
5.2,7.35245849288611,-1.0476532807536281,-0.4922429917660027,7.844701484652113,0.0,118.4299485748835,1,7.844701484652113
8.6,6.577113243235173,-0.93967800675191804,-3.422886756764827,8.6,1.4000000000000004,118.4299485748835,0,6.72547768953029
6.2,7.5724911102055135,-0.95479108217622888,0.22988193797063605,7.342609172234877,0.0,121.08733940264862,1,7.342609172234877
6.9,4.970130986862869,-1.1846243614118077,0.7223237236181319,4.247807263244737,0.0,126.83953213940389,1,4.247807263244737
6.5,6.577113243235173,-1.7456096449796612,-3.422886756764827,7.199999999999999,2.8000000000000007,126.83953213940389,0,5.286270984383729
6.0,7.469733883932639,-1.0962538480492956,0.5843441112387167,6.885389772693922,0.0,129.95414236670996,1,6.885389772693922
4.0,4.647252282405564,-1.5968031998211021,-1.167338351903254,5.814590634308818,0.0,134.13955173240115,1,5.814590634308818
8.5,6.577113243235173,-1.1439184022499831,-3.422886756764827,8.2,1.8000000000000007,134.13955173240115,0,7.239460028401077
6.5,7.2085320662089325,-1.5294581034668391,1.1069242802659263,6.101607785943006,0.0,138.03794394645814,1,6.101607785943006
4.0,5.169052525706318,-1.471900006929149,-1.0525451694279173,6.2215976951342356,0.0,141.81634625132392,1,6.2215976951342356
8.5,6.577113243235173,-1.2676527204205736,-3.422886756764827,8.299999999999999,1.700000000000001,141.81634625132392,0,7.408465166160265
4.5,5.177,-1.2308944825238661,-4.823,5.392046585589702,4.607953414410298,0,0,4.392046585589702
5.5,4.817,-2.300631204001228,-1.672910255199752,6.489910255199752,0.0,3.510089744800248,1,6.489910255199752
7.2,6.483,-1.4685723409006597,-3.5170000000000003,7.0,3.0,0,0,5.433684876000198
5.5,5.177,-2.4500755735208624,-1.761682469869771,6.938682469869771,0.0,3.0613175301302293,1,6.938682469869771
5.0,5.56479088407429,-0.94162525547102283,-0.1611979707104716,5.725988854784761,0.0,7.335328675345468,1,5.725988854784761
5.2,5.964472064031788,-0.93066951740971926,0.06027345160601616,5.9041986124257715,0.0,11.431130062919696,1,5.9041986124257715
4.6,5.636846376981871,-1.1511994146934279,-0.6734671375848453,6.310313514566716,0.0,15.12081654835298,1,6.310313514566716
6.0,6.483,-2.2810251509207968,-3.5170000000000003,8.1,1.9000000000000004,15.12081654835298,0,4.822088066013793
4.0,5.937529831163898,-0.93349201767902723,-0.09690899864277114,6.034438829806669,0.0,19.08637771854631,1,6.034438829806669
3.8,5.937886187482297,-1.0374529117822877,-0.4706297591179469,6.408515946600244,0.0,22.677861771946066,1,6.408515946600244
6.5,6.483,-2.3072744512050956,-3.5170000000000003,6.6,3.4000000000000004,22.677861771946066,0,4.806043746874168
4.6,5.980848153557217,-1.3549778357385061,0.9323661941656258,5.048481959391591,0.0,27.629379812554475,1,5.048481959391591
3.9,6.14825768980802,-0.93141297007657753,-0.0717612785520636,6.220018968360083,0.0,31.409360844194392,1,6.220018968360083
