beh,opb,clh,rpe,cob,coe,cmr,sve,ecm,ecv,sib
8.5,8.1,-3.49119490852,0.63542670713,8.1,-0.6,153.1,0.0354267071305,1.99080417437,1.86457329287,7.5
4.0,4.8,-3.94016935381,2.60750268313,5.8,0.0,157.29999999999998,2.60750268313,2.02191979857,1.59249731687,5.8
8.5,8.1,-4.62965815645,-0.875939635517,8.4,1.1,157.79999999999998,0.224060364483,1.99080417437,1.37593963552,9.5
5.2,4.3,-4.62831811041,2.54709063269,6.3,0.0,161.49999999999997,2.54709063269,1.73201159339,1.15290936731,6.3
8.6,8.1,-3.72139542229,-0.866085983318,8.6,0.5,162.39999999999998,-0.366085983318,1.99080417437,1.76608598332,9.1
6.2,4.3,-4.89038694929,-1.04139351632,7.6,2.4000000000000004,162.39999999999998,1.35860648368,1.73201159339,1.04139351632,6.6
6.9,4.8,-3.81624901084,2.75187287891,5.6,0.0,166.79999999999998,2.75187287891,2.02191979857,1.64812712109,5.6
6.5,8.1,-3.56402070216,0.767080663251,7.2,0.2,169.39999999999998,0.967080663251,1.99080417437,1.83291933675,7.4
6.0,4.3,-4.24552616563,2.68167195166,6.0,0.0,173.39999999999998,2.68167195166,1.73201159339,1.31832804834,6.0
4.0,4.8,-3.62522790488,3.16691824564,5.1,0.0,178.29999999999998,3.16691824564,2.02191979857,1.73308175436,5.1
8.5,8.1,-3.55915387545,0.864065082969,8.2,-0.9,180.99999999999997,-0.035934917031,1.99080417437,1.83593491703,7.3
6.5,4.3,-3.69768369179,3.94435068576,4.5,0.0,186.49999999999997,3.94435068576,1.73201159339,1.55564931424,4.5
4.0,4.8,-4.49621605626,5.33735595579,3.3,0.0,193.19999999999996,5.33735595579,2.02191979857,1.36264404421,3.3
8.5,8.1,-3.20781854689,-0.288031692898,8.3,1.7763568394e-15,194.89999999999995,-0.288031692898,1.99080417437,1.9880316929,8.3
4.5,4.2,-4.17802514125,2.88297987333,5.8,0.0,4.2,2.88297987333,1.56238514847,1.31702012667,5.8
5.5,4.8,-5.50985248736,1.7547044647,7.4,0.0,2.5999999999999996,1.7547044647,1.74436679519,0.845295535299,7.4
7.2,8.3,-4.10919998959,1.59669921851,7.0,-0.2,3.2,1.39669921851,2.00034587372,1.60330078149,6.8
5.5,4.2,-3.72427648808,-1.51417734922,4.6,5.4,3.2,3.88582265078,1.56238514847,1.51417734922,3.6
